Grama,Kilos,NGRDI,MSAVI,MGRVI,RGBIndex,VARI,TGI,GLI,ExGRaw,ExG,ExRM,ExGR,NDVI,SAVI,RDVI,NLI,CVI,GNDVI,PanNDVI,NDRE,NDVIRE,SFDVI
286,"22,25","0,39","0,59","0,68","0,79","0,49","427.942.639,49","0,48","1.972,06","0,75","-0,24","2.571,99","0,78","1,17","60,99",1,"1,54","0,56","0,35","0,2","0,69","1,63"
244,"24,76","0,43","0,65","0,73","0,8","0,54","319.044.088,44","0,49","1.877,80","0,79","-0,29","2.506,97","0,81","1,22","63,38",1,"1,54","0,59","0,4","0,22","0,72","1,69"
272,"24,89","0,42","0,63","0,71","0,79","0,53","252.346.071,70","0,48","1.667,43","0,76","-0,28","2.212,79","0,82","1,22","61,7",1,"1,66","0,6","0,41","0,23","0,72","1,72"
280,"25,00","0,4","0,61","0,69","0,78","0,51","266.417.574,88","0,48","1.673,89","0,75","-0,26","2.200,05","0,8","1,21","60,43",1,"1,67","0,59","0,39","0,22","0,71","1,68"
396,"46,05","0,39","0,58","0,67","0,72","0,52","163.668.659,31","0,42","1.181,07","0,65","-0,27","1.562,33","0,86","1,29","67,66",1,"2,55","0,71","0,52","0,33","0,74","2,03"
488,"40,06","0,35","0,52","0,62","0,68","0,47","169.041.056,14","0,39","1.085,85","0,6","-0,23","1.398,21","0,84","1,27","65,36",1,"2,77","0,7","0,51","0,33","0,71","2,01"
334,"43,93","0,37","0,55","0,65","0,71","0,5","173.483.502,12","0,41","1.165,79","0,63","-0,25","1.521,33","0,84","1,26","64,3",1,"2,47","0,69","0,49","0,32","0,72","1,96"
596,"44,34","0,39","0,58","0,67","0,72","0,52","153.364.181,94","0,42","1.164,75","0,66","-0,27","1.538,39","0,86","1,29","66,9",1,"2,55","0,7","0,52","0,33","0,74","2,01"
486,"43,58","0,34","0,51","0,61","0,68","0,46","159.968.558,83","0,39","1.054,27","0,59","-0,21","1.345,09","0,84","1,25","62,74",1,"2,71","0,69","0,49","0,32","0,7","1,95"
452,"42,40","0,39","0,58","0,68","0,72","0,52","165.674.790,19","0,42","1.198,53","0,66","-0,27","1.586,50","0,86","1,29","68,45",1,"2,57","0,71","0,53","0,33","0,74","2,03"
480,"45,95","0,39","0,58","0,67","0,71","0,52","128.581.443,24","0,42","1.084,27","0,65","-0,27","1.432,25","0,87","1,3","67,73",1,"2,75","0,72","0,55","0,36","0,74","2,13"
428,"42,87","0,37","0,55","0,65","0,71","0,5","173.627.428,62","0,41","1.176,82","0,64","-0,25","1.535,52","0,85","1,27","65,83",1,"2,55","0,69","0,5","0,32","0,72","1,96"
418,"47,17","0,36","0,54","0,64","0,68","0,5","149.567.351,75","0,39","1.046,92","0,6","-0,25","1.365,49","0,86","1,29","68,42",1,"2,97","0,73","0,54","0,36","0,73","2,13"
542,"39,23","0,32","0,48","0,58","0,64","0,44","136.579.023,24","0,36","909,93","0,55","-0,2","1.146,91","0,85","1,27","64,5",1,"3,23","0,72","0,53","0,36","0,7","2,11"
352,"48,46","0,32","0,49","0,59","0,64","0,45","145.884.111,45","0,36","922,84","0,54","-0,21","1.170,96","0,85","1,28","66,59",1,"3,31","0,73","0,54","0,37","0,71","2,15"
