Grama,Kilos,NGRDI,MSAVI,MGRVI,RGBIndex,VARI,TGI,GLI,ExGRaw,ExG,ExRM,ExGR,NDVI,SAVI,RDVI,NLI,CVI,GNDVI,PanNDVI,NDRE,NDVIRE,SFDVI
"80,26","2.140,27","0,44","0,9","0,73","0,79","0,55","243.950.317,01","0,49","1.681,99","0,78","-0,3","2.260,36","0,81","1,22","59,95","0,99995841","1,5","0,59","0,39","0,22","0,73","1,69"
"62,54","1.667,73","0,41","0,89","0,7","0,77","0,52","226.126.436,06","0,46","1.525,88","0,73","-0,27","2.017,46","0,79","1,19","55,77","0,99994814","1,55","0,57","0,36","0,21","0,7","1,66"
"50,22","1.339,20","0,45","0,9","0,74","0,79","0,57","237.271.845,74","0,49","1.679,21","0,78","-0,32","2.268,52","0,82","1,23","60,58","0,99996024","1,5","0,59","0,4","0,22","0,74","1,69"
"85,1","2.269,33","0,41","0,89","0,71","0,78","0,53","225.989.792,47","0,47","1.558,81","0,75","-0,28","2.070,72","0,8","1,2","57,26","0,99995225","1,56","0,58","0,37","0,21","0,71","1,66"
"117,22","3.125,87","0,42","0,93","0,71","0,72","0,58","124.263.217,28","0,43","1.102,63","0,67","-0,32","1.493,19","0,87","1,31","67,88","0,9999763","2,52","0,72","0,55","0,34","0,76","2,08"
"99,26","2.646,93","0,44","0,94","0,73","0,74","0,61","132.450.212,71","0,44","1.171,95","0,69","-0,34","1.605,24","0,88","1,32","70,7","0,99997942","2,46","0,73","0,56","0,35","0,77","2,12"
"87,98","2.346,13","0,41","0,93","0,7","0,71","0,58","150.967.138,81","0,42","1.141,13","0,65","-0,31","1.544,09","0,87","1,3","67,84","0,99997526","2,46","0,71","0,53","0,33","0,76","2,02"
"97,64","2.603,73","0,42","0,93","0,71","0,73","0,58","129.042.029,56","0,43","1.127,14","0,67","-0,32","1.528,67","0,87","1,31","67,11","0,99997523","2,42","0,71","0,54","0,33","0,76","2,05"
"130,43","3.478,13","0,41","0,93","0,7","0,71","0,56","114.512.210,83","0,42","1.045,25","0,65","-0,3","1.406,10","0,87","1,3","65,88","0,99997404","2,56","0,72","0,54","0,34","0,75","2,07"
"106,09","2.829,07","0,41","0,93","0,7","0,72","0,57","136.603.631,62","0,42","1.121,86","0,66","-0,31","1.515,25","0,87","1,31","68,1","0,99997598","2,52","0,72","0,54","0,33","0,76","2,06"
